epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,9797.05,0.22348,0.28209,0.17601,0.80449,0.99979,0.99703,0.995,0.98995,0.99979,0.99703,0.995,0.95887,0.16775,0.2188,0.14053,0.85898,0.0011783,0.0011783,0.0011783
85,9913.49,0.22173,0.26801,0.17793,0.80291,0.9998,0.99703,0.995,0.99155,0.9998,0.99703,0.995,0.9695,0.13772,0.21208,0.13808,0.85306,0.0011684,0.0011684,0.0011684
86,10029.9,0.23093,0.27004,0.18146,0.80315,1,0.99598,0.995,0.99041,1,0.99598,0.995,0.96321,0.14143,0.22244,0.21341,0.85536,0.0011585,0.0011585,0.0011585
87,10146.3,0.22771,0.26868,0.18,0.79612,0.99981,0.99703,0.995,0.99179,0.99981,0.99703,0.995,0.96724,0.14833,0.22081,0.15909,0.85475,0.0011486,0.0011486,0.0011486
88,10262.7,0.22029,0.25969,0.17822,0.79398,0.9998,0.99703,0.995,0.98927,0.9998,0.99703,0.995,0.9675,0.17697,0.18544,0.19843,0.85565,0.0011387,0.0011387,0.0011387
89,10379.1,0.20922,0.24682,0.16903,0.79475,0.99984,0.99703,0.995,0.99152,0.99984,0.99703,0.995,0.94824,0.1726,0.24115,0.1239,0.85536,0.0011288,0.0011288,0.0011288
90,10495.5,0.21445,0.25658,0.16784,0.79551,0.99932,0.99703,0.995,0.99107,0.99932,0.99703,0.995,0.96647,0.15854,0.21767,0.12519,0.86301,0.0011189,0.0011189,0.0011189
91,10611.9,0.22272,0.25357,0.17442,0.804,0.99982,0.99703,0.995,0.98942,0.99982,0.99703,0.995,0.95549,0.15745,0.21995,0.15508,0.8545,0.001109,0.001109,0.001109
92,10728.3,0.20956,0.23696,0.16552,0.80072,0.99982,0.99703,0.995,0.99056,0.99982,0.99703,0.995,0.94376,0.14595,0.24066,0.11823,0.85487,0.0010991,0.0010991,0.0010991
93,10844.7,0.20676,0.24369,0.16402,0.79427,0.99974,0.99703,0.995,0.98653,0.99974,0.99703,0.995,0.95745,0.14071,0.21374,0.10893,0.85918,0.0010892,0.0010892,0.0010892
94,10961.1,0.21017,0.25416,0.16711,0.79622,0.99979,0.99703,0.995,0.99121,0.99979,0.99703,0.995,0.96716,0.14249,0.21912,0.12197,0.85994,0.0010793,0.0010793,0.0010793
95,11077.5,0.20875,0.24893,0.16791,0.79692,0.99982,0.99703,0.995,0.98884,0.99982,0.99703,0.995,0.95805,0.12515,0.20107,0.10451,0.85341,0.0010694,0.0010694,0.0010694
96,11193.9,0.20715,0.24237,0.16674,0.79683,0.99983,0.99703,0.995,0.99111,0.99983,0.99703,0.995,0.96648,0.13107,0.20726,0.11485,0.85735,0.0010595,0.0010595,0.0010595
97,11310.3,0.20804,0.25231,0.16756,0.79617,0.99981,0.99703,0.995,0.99169,0.99981,0.99703,0.995,0.97144,0.14007,0.17718,0.12824,0.8556,0.0010496,0.0010496,0.0010496
98,11426.8,0.2165,0.24294,0.16632,0.79774,0.99983,0.99703,0.995,0.9921,0.99983,0.99703,0.995,0.95347,0.15515,0.23297,0.13335,0.85558,0.0010397,0.0010397,0.0010397
99,11543.2,0.20772,0.22902,0.16624,0.79762,0.9997,0.99703,0.995,0.9924,0.9997,0.99703,0.995,0.97024,0.14524,0.17845,0.15981,0.85455,0.0010298,0.0010298,0.0010298
100,11659.8,0.21498,0.24154,0.1711,0.79966,0.99984,0.99703,0.995,0.99179,0.99984,0.99703,0.995,0.96872,0.14035,0.20708,0.11835,0.85195,0.0010199,0.0010199,0.0010199
101,11776.2,0.21043,0.23408,0.16634,0.801,0.99984,0.99703,0.995,0.99224,0.99984,0.99703,0.995,0.97697,0.14742,0.17708,0.1677,0.85612,0.00101,0.00101,0.00101
102,11892.8,0.21574,0.23845,0.17239,0.79293,0.99984,0.99703,0.995,0.99021,0.99984,0.99703,0.995,0.98412,0.17291,0.18733,0.14929,0.85752,0.0010001,0.0010001,0.0010001
103,12009.4,0.21732,0.23513,0.1728,0.80024,0.99982,0.99703,0.995,0.99012,0.99982,0.99703,0.995,0.97737,0.16278,0.1958,0.16378,0.85567,0.0009902,0.0009902,0.0009902
104,12125.9,0.20583,0.21137,0.16735,0.79408,0.99983,0.99703,0.995,0.99208,0.99983,0.99703,0.995,0.98409,0.12716,0.14455,0.1515,0.85494,0.0009803,0.0009803,0.0009803
105,12242.5,0.20906,0.2175,0.1659,0.80176,0.99984,0.99703,0.995,0.99158,0.99984,0.99703,0.995,0.98415,0.11864,0.16757,0.12918,0.8533,0.0009704,0.0009704,0.0009704
106,12358.9,0.21035,0.22094,0.1682,0.79641,0.99983,0.99703,0.995,0.99116,0.99983,0.99703,0.995,0.9757,0.15196,0.20521,0.14127,0.85808,0.0009605,0.0009605,0.0009605
107,12475.4,0.19465,0.20478,0.15845,0.796,0.99981,0.99703,0.995,0.99158,0.99981,0.99703,0.995,0.98418,0.15239,0.15838,0.15082,0.85601,0.0009506,0.0009506,0.0009506
108,12591.9,0.21113,0.21544,0.16502,0.79899,0.99983,0.99703,0.995,0.99221,0.99983,0.99703,0.995,0.98704,0.11914,0.15863,0.1456,0.85755,0.0009407,0.0009407,0.0009407
109,12708.4,0.20451,0.2059,0.16665,0.79564,0.99984,0.99703,0.995,0.99221,0.99984,0.99703,0.995,0.9816,0.1345,0.16113,0.12476,0.85902,0.0009308,0.0009308,0.0009308
110,12824.9,0.18623,0.18872,0.15295,0.79963,0.99973,0.99703,0.995,0.98931,0.99973,0.99703,0.995,0.98368,0.13193,0.1603,0.14619,0.85957,0.0009209,0.0009209,0.0009209
111,12941.5,0.1966,0.20775,0.16013,0.79702,0.99975,0.99703,0.995,0.99087,0.99975,0.99703,0.995,0.9844,0.14351,0.17048,0.21293,0.8605,0.000911,0.000911,0.000911
112,13057.9,0.19059,0.18746,0.15587,0.79595,0.99983,0.99703,0.995,0.99182,0.99983,0.99703,0.995,0.98088,0.13432,0.17703,0.11934,0.85278,0.0009011,0.0009011,0.0009011
